Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 25/11/24, hora: 08:00
Nombre: Cancha de fulbol, tipo: deportivo, disponibilidad: false, fecha: 25/11/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 25/11/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 25/11/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 25/11/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 25/11/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 25/11/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 25/11/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 25/11/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 25/11/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 25/11/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 25/11/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 26/11/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 26/11/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 26/11/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 26/11/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 26/11/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 26/11/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 26/11/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 26/11/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 26/11/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 26/11/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 26/11/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 26/11/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 27/11/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 27/11/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 27/11/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 27/11/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 27/11/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 27/11/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 27/11/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 27/11/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 27/11/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 27/11/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 27/11/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 27/11/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 12:00
